Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,index,Run,Minutes
Things Get Heated In The Lava Game | Community,Community,03:51,6084,52,517901,282,2020-01-13T09:30:02Z,3,0.9915254237288136,38,25,3.85
Discovering The Orb | Community,Community,02:30,1912,18,185073,76,2020-01-25T09:30:00Z,4,0.9906735751295337,48,25,2.5
Troy STOLE The Trademark Handshake! | Community,Community,03:49,11175,85,759464,607,2020-05-25T14:30:06Z,5,0.9924511545293073,59,25,3.817
Troy and Abed Sell Their Handshake,screaminjesus,01:11,4400,33,310718,210,2011-04-30T01:28:30Z,6,0.9925558312655087,73,25,1.183
Ambushed By Glee Club | Community,Community,03:30,7504,68,757991,250,2020-01-15T09:30:00Z,0,0.9910195456946645,1,26,3.5
Jeff Ends The Paintball War | Community,Community,03:00,8797,76,759986,321,2020-02-05T09:30:00Z,1,0.9914346895074947,12,26,3.0
Troy & Annie At The Fateful College Party | Community,Community,04:03,4527,56,369383,416,2020-03-30T08:30:01Z,2,0.987780929522147,29,26,4.05
The Study Group Self-Destructs | Community,Community,03:52,5083,92,416806,346,2020-04-06T08:30:02Z,3,0.9822222222222222,41,26,3.867
The Fake Gun Finale | Community,Community,04:40,9495,43,345438,416,2021-02-27T15:30:06Z,4,0.9954917173411617,51,26,4.667
Airing Out Everyone's Dirty Laundry | Community,Community,04:43,2469,19,113426,175,2021-05-01T14:30:13Z,5,0.992363344051447,58,26,4.717
Community Paintball,Melkor_CL,:59,3249,40,248762,129,2015-05-25T03:22:12Z,6,0.9878382487078139,68,26,0.983
Community - 1x23 Modern Warfare - Group Reaction,The Normies,21:55,3409,115,218816,285,2018-03-01T17:06:07Z,0,0.967366628830874,4,27,21.917
Greatest Hits of Britta Perry,Cinemameta,16:08,6227,107,440385,695,2019-04-23T14:03:59Z,0,0.9831070413640669,9,28,16.133
Chang Joins The Paintball War | Community,Community,02:24,17396,121,981869,786,2020-02-01T09:30:02Z,0,0.9930924245019124,10,29,2.4
Ambushed By Glee Club | Community,Community,03:30,7504,68,757993,250,2020-01-15T09:30:00Z,1,0.9910195456946645,19,29,3.5
Community Writers' Favorite Moments | Community,Community,08:03,30405,169,1340985,1013,2020-01-20T09:30:02Z,2,0.9944724275528226,29,29,8.05
Community and its Movie References Side by Side.,Yaron Baruch,13:47,33076,213,793326,1164,2021-05-26T03:45:33Z,3,0.9936014899816756,35,29,13.783
Community and its Movie References Side by Side.,Yaron Baruch,13:47,33076,213,793326,1164,2021-05-26T03:45:33Z,0,0.9936014899816756,2,30,13.783
Chang Joins The Paintball War | Community,Community,02:24,17396,121,981869,786,2020-02-01T09:30:02Z,0,0.9930924245019124,10,31,2.4
Stand-Off With The Black Rider | Community,Community,03:08,3312,16,256380,167,2020-06-08T14:30:02Z,1,0.9951923076923077,18,31,3.133
"""Pop What?...POP WHAT?!"" | Community",Community,03:27,7803,53,425977,375,2020-07-11T14:00:03Z,2,0.9932535641547862,26,31,3.45
Season 2 Bloopers! #2 | Community,Community,06:35,30220,192,1711078,1064,2020-04-01T08:30:02Z,3,0.9936867026173879,39,31,6.583
The Cast of Community Reunites for Table Read #stayhome #withme,Community,34:35,210774,1099,4563785,11731,2020-05-18T21:00:11Z,4,0.9948129303875435,53,31,34.583
Remedial Chaos Theory | FULL EPISODE - Available For A Limited Time! | Community,Community,21:29,4415,17,67736,480,2021-07-02T17:00:10Z,5,0.9961642599277978,62,31,21.483
Basic Genealogy | FULL EPISODE | Community,Community,21:07,1985,8,58371,237,2021-06-02T16:00:10Z,6,0.9959859508278976,66,31,21.117
The BEST of Troy Barnes: Community S01 | LeoAshe.com,Leo Ashe,19:21,12711,176,984938,603,2020-01-09T19:02:54Z,7,0.9863428261038255,82,31,19.35
Community and its Movie References Side by Side.,Yaron Baruch,13:47,33076,213,793326,1164,2021-05-26T03:45:33Z,0,0.9936014899816756,2,32,13.783
Community and its Movie References Side by Side.,Yaron Baruch,13:47,33076,213,793326,1164,2021-05-26T03:45:33Z,0,0.9936014899816756,3,33,13.783
Community most ICONIC moments (Season 1),BubbleFlix,21:43,7271,205,362879,430,2020-12-09T12:40:50Z,0,0.9725789192081327,2,34,21.717
The Fake Gun Finale | Community,Community,04:40,9495,43,345438,416,2021-02-27T15:30:06Z,0,0.9954917173411617,6,35,4.667
Community - Disney Face,wadedinasty23,02:23,17427,337,2095814,657,2011-05-23T20:51:44Z,1,0.9810290475118216,15,35,2.383
Community most ICONIC moments (Season 1),BubbleFlix,21:43,7271,205,362879,430,2020-12-09T12:40:50Z,0,0.9725789192081327,8,36,21.717
Community - 1x23 Modern Warfare - Group Reaction,The Normies,21:55,3409,115,218816,285,2018-03-01T17:06:07Z,0,0.967366628830874,6,37,21.917
For A Few Paintballs More - Behind The Scenes | Community,Community,09:33,18893,83,796615,764,2020-04-15T08:30:06Z,0,0.9956260539629005,8,38,9.55
Community - 2x23 - A Fistful of Paintballs - Group Reaction,The Normies,21:04,2580,61,177679,188,2018-08-23T18:22:15Z,1,0.9769026883756153,15,38,21.067
Community most ICONIC moments (Season 1),BubbleFlix,21:43,7271,205,362879,430,2020-12-09T12:40:50Z,0,0.9725789192081327,6,39,21.717
Community and its Movie References Side by Side.,Yaron Baruch,13:47,33076,213,793326,1164,2021-05-26T03:45:33Z,0,0.9936014899816756,6,40,13.783
Community and its Movie References Side by Side.,Yaron Baruch,13:47,33076,213,793326,1164,2021-05-26T03:45:33Z,0,0.9936014899816756,3,41,13.783
HOW BAD WAS THE COMMUNITY / CHEVY CHASE EXPERIENCE? #insideofyou #joelmchale,Inside Of You Clips,05:19,186,0,5106,12,2021-07-19T19:00:02Z,0,1.0,6,42,5.317
"""Pop What?...POP WHAT?!"" | Community",Community,03:27,7803,53,425977,375,2020-07-11T14:00:03Z,0,0.9932535641547862,8,43,3.45
Changlorious Basterds & The Pillow Man | Community,Community,02:38,12494,62,528079,458,2019-12-18T09:30:00Z,1,0.9950621216948072,14,43,2.633
Season 1 Gag Reel And Outtakes #1 | Community,Community,03:28,18455,141,1159657,466,2019-10-18T09:21:44Z,2,0.9924177242417724,25,43,3.467
Community - Disney Face,wadedinasty23,02:23,17427,337,2095814,657,2011-05-23T20:51:44Z,3,0.9810290475118216,41,43,2.383
Ambushed By Glee Club | Community,Community,03:30,7504,68,757993,250,2020-01-15T09:30:00Z,0,0.9910195456946645,1,44,3.5
Remedial Chaos Theory | FULL EPISODE - Available For A Limited Time! | Community,Community,21:29,4415,17,67736,480,2021-07-02T17:00:10Z,1,0.9961642599277978,21,44,21.483
Why Advanced Dungeons and Dragons is the Best Episode of Community,tylermsc,10:37,28674,452,889409,2905,2020-02-07T18:25:22Z,2,0.9844812195289432,26,44,10.617
The Fake Gun Finale | Community,Community,04:40,9495,43,345438,416,2021-02-27T15:30:06Z,0,0.9954917173411617,4,45,4.667
Community Writers' Favorite Moments | Community,Community,08:03,30405,169,1340985,1013,2020-01-20T09:30:02Z,1,0.9944724275528226,14,45,8.05
The Cast of Community Reunites for Table Read #stayhome #withme,Community,34:35,210774,1099,4563785,11731,2020-05-18T21:00:11Z,2,0.9948129303875435,23,45,34.583
Episode #13 - The Changdalorian,The Darkest Timeline with Ken Jeong & Joel McHale,1:25:08,12128,74,387420,931,2020-05-24T04:00:10Z,3,0.9939354204228815,39,45,85.133
Community most ICONIC moments (Season 1),BubbleFlix,21:43,7271,205,362879,430,2020-12-09T12:40:50Z,0,0.9725789192081327,7,46,21.717
Community and its Movie References Side by Side.,Yaron Baruch,13:47,33077,213,793326,1164,2021-05-26T03:45:33Z,0,0.9936016821868429,4,47,13.783
The Fake Gun Finale | Community,Community,04:40,9495,43,345438,416,2021-02-27T15:30:06Z,0,0.9954917173411617,9,48,4.667
Troy STOLE The Trademark Handshake! | Community,Community,03:49,11175,85,759465,607,2020-05-25T14:30:06Z,1,0.9924511545293073,14,48,3.817
Contemporary American Poultry | FULL EPISODE - Available For A Limited Time! | Community,Community,21:27,5127,27,133055,434,2021-05-19T00:00:13Z,2,0.9947613504074505,24,48,21.45
The Fake Gun Finale | Community,Community,04:40,9495,43,345438,416,2021-02-27T15:30:06Z,3,0.9954917173411617,38,48,4.667
Who's The Sane One In The Group? | Community,Community,04:15,7255,52,417808,489,2020-10-31T15:00:11Z,4,0.9928835363350212,48,48,4.25
Community Writers' Favorite Moments | Community,Community,08:03,30405,169,1340985,1013,2020-01-20T09:30:02Z,5,0.9944724275528226,56,48,8.05
First & Last Lines Said By Community Characters! | Community,Community,17:54,9313,161,394916,557,2020-12-28T15:30:03Z,6,0.983006122018155,72,48,17.9
In Conversation with the Cast of Community,Vulture,1:06:31,32938,322,1514856,3499,2019-11-19T17:00:07Z,7,0.9903187011425135,78,48,66.517
Contemporary American Poultry | FULL EPISODE - Available For A Limited Time! | Community,Community,21:27,5128,27,133055,434,2021-05-19T00:00:13Z,0,0.9947623666343356,10,49,21.45
Remedial Chaos Theory | FULL EPISODE - Available For A Limited Time! | Community,Community,21:29,4415,17,67736,480,2021-07-02T17:00:10Z,1,0.9961642599277978,12,49,21.483
Contemporary American Poultry | FULL EPISODE - Available For A Limited Time! | Community,Community,21:27,5128,27,133055,434,2021-05-19T00:00:13Z,2,0.9947623666343356,26,49,21.45
Troy & Annie At The Fateful College Party | Community,Community,04:03,4527,56,369384,416,2020-03-30T08:30:01Z,3,0.987780929522147,42,49,4.05
The BEST of Annie Edison: Community S01 | LeoAshe.com,Leo Ashe,11:19,4598,68,406632,352,2020-01-10T06:26:34Z,4,0.9854264894984998,53,49,11.317
Community - 1x23 Modern Warfare - Group Reaction,The Normies,21:55,3409,115,218816,285,2018-03-01T17:06:07Z,0,0.967366628830874,9,50,21.917
Chang Joins The Paintball War | Community,Community,02:24,17396,121,981871,786,2020-02-01T09:30:02Z,0,0.9930924245019124,5,51,2.4
