Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,index,Run,Minutes
It's Michael Scott's Bday! - The Office US,The Office,05:01,22277,173,1010284,907,2021-03-15T17:00:13Z,7,0.992293986636971,81,19,5.017
Best of The Party Planning Committee - The Office US,The Office,10:10,28830,442,2263151,1391,2018-08-25T16:00:06Z,8,0.984900245968844,93,19,10.167
The Office | Every Cold Open (Season 9 Part 1),Peacock,16:40,2601,43,200333,76,2021-07-14T13:00:00Z,9,0.9837367624810892,104,19,16.667
The Best Of Ron Swanson (Parks and Recreation),witchorking,32:15,260133,7283,29655078,13076,2017-02-22T21:06:12Z,0,0.9727652795644239,2,20,32.25
Dwight Betrays Michael - The Office,The Office,08:39,108476,1256,5787849,4422,2020-01-04T14:00:07Z,0,0.9885539313964933,9,21,8.65
The Michael Scott Method of Negotiation - The Office,The Office,05:09,69656,652,3686849,3141,2020-05-12T13:00:28Z,1,0.990726517608238,17,21,5.15
Secret Geniuses - The Office US,The Office,10:04,123449,2054,9681302,5047,2018-10-27T15:58:32Z,2,0.9836338573579915,26,21,10.067
Michael Vs Dwight - The Office US,The Office,10:37,23242,368,1489214,870,2019-11-30T19:00:02Z,3,0.9844133841592545,43,21,10.617
Michael Scott Vs Corporate - The Office US,The Office,14:16,26669,377,1509023,1151,2021-03-20T17:00:10Z,4,0.9860607853286992,51,21,14.267
The WHOLE Michael Scott Paper Company Story - The Office US,The Office,15:15,42633,751,3077010,1861,2019-11-09T20:00:09Z,5,0.982689470772635,56,21,15.25
Best of Dwight Schrute - The Office US | Comedy Bites,Comedy Bites,10:04,41966,1105,3639943,849,2019-02-21T17:00:05Z,6,0.9743446866801329,76,21,10.067
The Matrix | Never-Before-Seen Cold Open | A Peacock Extra,The Office,05:02,242940,1739,6903018,7143,2021-01-01T16:00:00Z,0,0.9928927288406443,9,22,5.033
Threat Level Midnight - Full Movie (EXCLUSIVE) - The Office US,The Office,24:45,451545,1982,9482100,24697,2019-12-10T19:00:04Z,1,0.9956298081481367,18,22,24.75
The Best Of Ron Swanson (Parks and Recreation),witchorking,32:15,260133,7283,29655078,13076,2017-02-22T21:06:12Z,2,0.9727652795644239,28,22,32.25
Best of Michael's Misquotes - The Office US,The Office,10:05,98418,1309,6443866,4646,2018-08-11T16:00:06Z,0,0.9868741664744753,7,23,10.083
Michael Scott's Love of Food - The Office US,The Office,10:05,70204,1097,4835043,2604,2019-08-17T16:00:01Z,1,0.9846145215354624,19,23,10.083
Michael and Ryan: An Unrequited Love - The Office US,The Office,10:01,59182,717,3923377,2533,2017-09-02T16:00:06Z,2,0.9880298502479173,28,23,10.017
Dwight Schrute: Assistant (To The) Regional Manager - The Office US,The Office,10:01,65019,1117,6502683,1508,2017-10-14T16:00:06Z,3,0.9831105600580622,34,23,10.017
Michael Scott Vs Corporate - The Office US,The Office,14:16,26669,377,1509023,1151,2021-03-20T17:00:10Z,4,0.9860607853286992,53,23,14.267
