Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,index,Run,Minutes
Liz Lemon's Boyfriends - 30 Rock,30 Rock Official,10:03,6648,185,1031527,464,2017-12-29T17:00:05Z,2,0.9729255085613933,30,2,10.05
Hilarious Dr. Spaceman | The Best Of Dr. Spaceman | 30 Rock,30 Rock Official,05:49,3278,45,260195,237,2020-10-22T16:00:12Z,3,0.9864580198615709,31,2,5.817
Seinfeld Feels Insulted by Liz | Tina Fey Imitates Jerry Seinfeld | Relationship Advice | 30 Rock,30 Rock Official,05:18,5277,140,447930,322,2020-10-09T15:00:01Z,3,0.9741554365885177,32,2,5.3
SNL on 30 Rock,30 Rock Official,03:31,1513,35,139015,118,2020-01-25T03:06:05Z,3,0.977390180878553,33,2,3.517
The Best of Tracy Jordan and Denise Richards - 30 Rock,30 Rock Official,03:24,961,18,84313,118,2019-12-12T14:00:05Z,3,0.9816138917262512,34,2,3.4
Jack Dates Crazy Claire - 30 Rock,30 Rock Official,03:24,3287,64,577451,258,2019-09-14T13:00:04Z,3,0.9809012235153686,35,2,3.4
Anna Howard Shaw Day At 30 Rock - 30 Rock,30 Rock Official,10:01,2050,70,298566,101,2018-02-14T00:00:01Z,3,0.9669811320754716,36,2,10.017
The Addiction - 30 Rock,30 Rock Official,02:29,6452,242,1238237,381,2018-08-15T16:00:05Z,3,0.9638482222886167,37,2,2.483
Operation Righteous Cowboy Lightning | 30 Rock,30 Rock Official,04:52,1418,15,91950,80,2020-09-10T14:21:08Z,3,0.9895324494068388,38,2,4.867
"30 Rock - Therapy, Jack Style (Episode Highlight)",30 Rock Official,02:38,2330,28,158930,186,2017-07-12T17:00:01Z,3,0.9881255301102629,39,2,2.633
Jack Donaghy - Six Sigma Wheel of Happiness Domination,Nick Lyon,02:33,1178,45,192053,65,2014-07-25T23:46:51Z,3,0.9632052330335241,40,2,2.55
Hilarious Dr. Spaceman | The Best Of Dr. Spaceman | 30 Rock,30 Rock Official,05:49,3278,45,260195,237,2020-10-22T16:00:12Z,4,0.9864580198615709,41,2,5.817
Every Appearance Of Conan (Best Of Conan O’Brien) - 30 Rock,30 Rock Official,05:38,16061,446,1755708,852,2018-05-04T16:00:03Z,4,0.9729811595080875,42,2,5.633
30 Rock - Tracy's Plan for Jimmy Fallon (Episode Highlight),30 Rock Official,03:03,640,20,81925,36,2017-08-21T17:00:05Z,4,0.9696969696969697,43,2,3.05
"Noel (Full Movie) Holiday NYC. Penelope Cruz, Susan Sarandon",Popcornflix,1:36:40,12400,943,1616223,1021,2016-04-08T17:29:19Z,4,0.929326238477104,44,2,96.667
Jack Donaghy's Porn for Women - 30 Rock,30 Rock Official,03:21,1449,34,159515,64,2020-02-08T14:00:12Z,4,0.9770734996628456,45,2,3.35
Seinfeld Feels Insulted by Liz | Tina Fey Imitates Jerry Seinfeld | Relationship Advice | 30 Rock,30 Rock Official,05:18,5277,140,447930,322,2020-10-09T15:00:01Z,4,0.9741554365885177,46,2,5.3
Liz Goes HD - 30 Rock,30 Rock Official,02:10,3466,69,424160,214,2017-09-20T17:00:04Z,4,0.9804809052333805,47,2,2.167
Operation Righteous Cowboy Lightning | 30 Rock,30 Rock Official,04:52,1418,15,91950,80,2020-09-10T14:21:08Z,4,0.9895324494068388,48,2,4.867
Liz Lemon's Flashbacks - 30 Rock,30 Rock Official,04:26,2479,38,197135,149,2020-03-05T14:00:02Z,4,0.9849026618990863,49,2,4.433
The Negotiation - 30 Rock,30 Rock Official,04:28,7500,114,719024,349,2020-04-02T16:00:31Z,4,0.9850275807722616,50,2,4.467
Hilarious Dr. Spaceman | The Best Of Dr. Spaceman | 30 Rock,30 Rock Official,05:49,3278,45,260195,237,2020-10-22T16:00:12Z,5,0.9864580198615709,51,2,5.817
Best Of: Good GOD! | 30 Rock,30 Rock Official,09:16,748,13,57360,36,2021-05-18T16:30:08Z,5,0.9829172141918529,52,2,9.267
Liz Lemon's Boyfriends - 30 Rock,30 Rock Official,10:03,6648,185,1031527,464,2017-12-29T17:00:05Z,5,0.9729255085613933,53,2,10.05
Jack vs Banks - 30 Rock,30 Rock Official,10:01,6404,188,1029495,450,2017-11-24T17:30:00Z,5,0.9714805825242718,54,2,10.017
Every Appearance Of Conan (Best Of Conan O’Brien) - 30 Rock,30 Rock Official,05:38,16061,446,1755708,852,2018-05-04T16:00:03Z,5,0.9729811595080875,55,2,5.633
30 Rock - Doctor's Diagnosis (Episode Highlight),30 Rock Official,01:53,638,6,72020,22,2017-10-19T06:58:41Z,5,0.9906832298136646,56,2,1.883
Salma Hayek as The Black Widow - 30 Rock,30 Rock Official,05:55,3172,101,418529,232,2019-11-12T14:00:01Z,5,0.9691414604338527,57,2,5.917
Jack And Liz At The Doctor's - 30 Rock,30 Rock Official,01:49,1698,20,230637,50,2017-08-10T15:00:04Z,5,0.9883585564610011,58,2,1.817
Kenneth is IMMORTAL | Kenneth's Immortality on '30 Rock' | 30 Rock,30 Rock Official,09:10,5280,78,333093,293,2020-10-19T16:00:30Z,5,0.9854423292273237,59,2,9.167
Best Of Jack Donaghy VS Kaylie Hooper (ft. Chloe Grace Moretz) | 30 Rock,30 Rock Official,10:00,1230,30,111344,119,2021-06-02T16:30:02Z,5,0.9761904761904762,60,2,10.0
Jack Donaghy Glorious Entrance (First Scene) - 30 Rock,30 Rock Official,02:49,3274,52,402319,144,2017-08-10T15:00:04Z,5,0.9843656043295249,61,2,2.817
Best Of Jack Donaghy VS Kaylie Hooper (ft. Chloe Grace Moretz) | 30 Rock,30 Rock Official,05:49,3278,45,260195,237,2020-10-22T16:00:12Z,6,0.9864580198615709,62,2,5.817
Jack vs Banks - 30 Rock,30 Rock Official,10:01,6404,188,1029495,450,2017-11-24T17:30:00Z,6,0.9714805825242718,63,2,10.017
Jack Donaghy's Life Lessons | 30 Rock,30 Rock Official,08:23,779,8,62100,55,2021-06-15T16:30:05Z,6,0.9898348157560356,64,2,8.383
Liz Exposes Abby - 30 Rock,30 Rock Official,02:38,10805,292,1502943,761,2018-01-03T17:00:08Z,6,0.9736865819590881,65,2,2.633
Best of Hazel Wassername | 30 Rock,30 Rock Official,10:06,585,16,50924,89,2021-06-08T16:30:01Z,6,0.9733777038269551,66,2,10.1
"30 Rock - Therapy, Jack Style (Episode Highlight)",30 Rock Official,02:38,2330,28,158930,186,2017-07-12T17:00:01Z,6,0.9881255301102629,67,2,2.633
