Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,index,Run,Minutes
30 Rock - Best of Season 4,wwydotu,07:59,1520,70,327849,104,2011-01-29T06:15:15Z,15,0.9559748427672956,157,22,7.983
Salma Hayek as The Black Widow - 30 Rock,30 Rock Official,05:55,3172,101,418530,232,2019-11-12T14:00:01Z,0,0.9691414604338527,7,24,5.917
Seinfeld Feels Insulted by Liz | Tina Fey Imitates Jerry Seinfeld | Relationship Advice | 30 Rock,30 Rock Official,05:18,5277,140,447933,322,2020-10-09T15:00:01Z,1,0.9741554365885177,14,24,5.3
All the Oscar Winners and Nominees - 30 Rock,30 Rock Official,05:43,1713,47,155295,118,2020-02-06T14:00:08Z,2,0.9732954545454545,27,24,5.717
The Best of Tracy Jordan and Denise Richards - 30 Rock,30 Rock Official,03:24,961,18,84315,118,2019-12-12T14:00:05Z,3,0.9816138917262512,37,24,3.4
Donaghy's Stress Eating - 30 Rock,30 Rock Official,03:50,2620,56,320412,126,2019-11-16T20:30:00Z,4,0.9790732436472347,52,24,3.833
Going To The Church on Valentine's Day In Exchange For Sex | 30 Rock,30 Rock Official,04:30,372,3,23221,30,2021-02-12T16:00:09Z,5,0.992,57,24,4.5
CRIME just got a new WORST friend. GOD COP! | 30 Rock,30 Rock Official,03:48,716,11,51396,59,2021-01-20T15:00:13Z,6,0.984869325997249,71,24,3.8
Kenneth Seduces Banks - 30 Rock,30 Rock Official,03:30,2194,63,219738,142,2020-01-08T04:38:07Z,7,0.9720868409393,75,24,3.5
Jack's Gay Bomb - 30 Rock,30 Rock Official,02:04,1046,33,102122,86,2020-03-04T00:45:45Z,8,0.969416126042632,91,24,2.067
Operation Righteous Cowboy Lightning | 30 Rock,30 Rock Official,04:52,1418,15,91952,80,2020-09-10T14:21:08Z,9,0.9895324494068388,103,24,4.867
The Negotiation - 30 Rock,30 Rock Official,04:28,7500,114,719026,349,2020-04-02T16:00:31Z,10,0.9850275807722616,111,24,4.467
Anna Howard Shaw Day At 30 Rock - 30 Rock,30 Rock Official,10:01,2050,70,298566,101,2018-02-14T00:00:01Z,11,0.9669811320754716,122,24,10.017
Liz Lemon's Disastrous Dates - 30 Rock,NBC,12:01,2398,54,276005,199,2020-08-14T16:00:13Z,12,0.9779771615008157,128,24,12.017
All the Oscar Winners and Nominees - 30 Rock,30 Rock Official,05:43,1713,47,155296,118,2020-02-06T14:00:08Z,0,0.9732954545454545,7,25,5.717
The Addiction - 30 Rock,30 Rock Official,02:29,6452,242,1238238,381,2018-08-15T16:00:05Z,1,0.9638482222886167,16,25,2.483
